Timestamp,Field of interest,Brand of your laptop that you are using for your use case?,The processor of your laptop that you use for your use case?,The Graphic Card of your laptop that you use for your use case?,The RAM of your laptop that you use for your use case?,The OS of your laptop that you use for your use case?,"Scale your priority for tech specs you would go for buying a laptop for your usecase(1 being the lowest and 4 being the highest)
 [Processor ]","Scale your priority for tech specs you would go for buying a laptop for your usecase(1 being the lowest and 4 being the highest)
 [Graphic Card]","Scale your priority for tech specs you would go for buying a laptop for your usecase(1 being the lowest and 4 being the highest)
 [RAM]","Scale your priority for tech specs you would go for buying a laptop for your usecase(1 being the lowest and 4 being the highest)
 [OS]"
11/12/2022 1:13:34,Data Science,Dell,Intel I5,Discrete,8 GB,Windows,2,1,3,4
11/12/2022 1:14:55,Data Science,Dell,Intel I5,Discrete,16 GB,Windows,2,1,4,3
11/12/2022 1:20:23,Data Science,Lenovo,Ryzen 7,Integrated,16 GB,Windows,3,4,2,3
11/12/2022 1:21:32,Data Science,Dell,Intel I5,Discrete,8 GB,Windows,3,1,2,4
11/12/2022 1:21:48,Data Science,Dell,Ryzen 5,Integrated,8 GB,Windows,3,2,2,4
11/12/2022 1:22:32,Data Science,Dell,Intel I7,Integrated,12 GB,Windows,3,3,3,3
11/12/2022 1:43:58,Data Science,Mac (Apple),M1,Integrated/Shared,8 GB,Mac OS,3,2,3,2
11/12/2022 1:44:23,IOT & Robotics,HP,Intel I5,Discrete/Dedicated,8 GB,Windows,4,2,4,3
11/12/2022 1:44:52,Video Editing,Mac (Apple),M1,Integrated/Shared,16 GB,Mac OS,4,4,4,4
11/12/2022 1:45:20,AI,Lenovo,Ryzen 5,Discrete/Dedicated,16 GB,Windows,4,4,3,1
11/12/2022 1:45:39,Data Science,Asus,Ryzen 7,Integrated/Shared,32 GB,Windows,4,4,4,3
11/12/2022 1:47:22,Cyber Security,Msi,Intel I7,Discrete/Dedicated,32 GB,Linux,4,4,4,4
11/12/2022 1:47:32,Data Science,Lenovo,Intel I5,Integrated/Shared,12 GB,Windows,4,3,3,4
11/12/2022 1:48:47,Cloud Computing,Mac (Apple),Intel I5,Discrete/Dedicated,8 GB,Mac OS,4,3,4,4
11/12/2022 1:49:22,Cloud Computing,HP,Ryzen 7,Discrete/Dedicated,16 GB,Windows,3,4,3,2
11/12/2022 1:51:09,Data Science,HP,Intel I5,Discrete/Dedicated,16 GB,Windows,3,4,2,1
11/12/2022 1:51:59,AI,HP,Ryzen 7,Discrete/Dedicated,16 GB,Windows,4,4,4,4
11/12/2022 1:52:04,Data Science,Dell,Intel I5,Integrated/Shared,8 GB,Windows,1,2,3,4
11/12/2022 1:52:25,Data Science,Mac (Apple),M1,Integrated/Shared,8 GB,Mac OS,4,4,4,4
11/12/2022 1:52:26,AI,HP,Intel I7,Discrete/Dedicated,16 GB,Windows,3,4,2,1
11/12/2022 1:54:13,Data Science,HP,Intel I5,Integrated/Shared,8 GB,Windows,4,3,4,2
11/12/2022 1:55:19,Data Science,Mac (Apple),M1,Integrated/Shared,8 GB,Mac OS,4,3,3,2
11/12/2022 1:56:13,Data Science,Mac (Apple),M1,Discrete/Dedicated,16 GB,Mac OS,4,3,3,3
11/12/2022 1:56:39,AI,Dell,Intel I5,Discrete/Dedicated,16 GB,Windows,4,3,4,4
11/12/2022 1:57:59,Data Science,Msi,Intel I5,Integrated/Shared,8 GB,Windows,4,4,4,4
11/12/2022 1:59:32,Block Chain,HP,Intel I7,Integrated/Shared,16 GB,Windows,3,2,3,3
11/12/2022 2:00:19,Video Editing,Mac (Apple),M2,Integrated/Shared,16 GB,Mac OS,4,3,4,4
11/12/2022 2:00:36,Data Science,HP,Intel I5,Integrated/Shared,8 GB,Windows,4,3,3,4
11/12/2022 2:00:47,Gaming,Asus,Intel I7,Discrete/Dedicated,16 GB,Windows,3,4,4,3
11/12/2022 2:03:59,AI,HP,Ryzen 7,Integrated/Shared,16 GB,Windows,4,3,4,4
11/12/2022 2:04:12,AI,HP,Intel I7,Integrated/Shared,16 GB,Windows,4,1,3,3
11/12/2022 2:06:07,Data Science,HP,Intel I5,Discrete/Dedicated,8 GB,Windows,3,2,3,3
11/12/2022 2:06:43,AI,Asus,Intel I7,Discrete/Dedicated,16 GB,Windows,4,4,4,2
11/12/2022 2:08:59,AI,Mac (Apple),M2,Integrated/Shared,32 GB,Mac OS,4,2,4,3
11/12/2022 2:12:23,AI,HP,Intel I5,Integrated/Shared,16 GB,Linux,4,1,3,2
11/12/2022 2:14:04,Data Science,Asus,Intel I5,Discrete/Dedicated,8 GB,Windows,4,3,4,3
11/12/2022 2:14:05,Gaming,Msi,Intel I5,Discrete/Dedicated,8 GB,Windows,3,3,3,4
11/12/2022 2:15:55,Cloud Computing,Acer,Intel I5,Integrated/Shared,8 GB,Windows,4,3,4,3
11/12/2022 2:17:02,AI,Asus,Ryzen 7,Discrete/Dedicated,16 GB,Windows,4,2,4,3
11/12/2022 2:22:10,AI,HP,Ryzen 5,Integrated/Shared,8 GB,Windows,3,3,4,4
11/12/2022 2:22:36,Data Science,HP,Ryzen 7,Integrated/Shared,32 GB,Windows,4,2,3,3
11/12/2022 2:23:31,Data Science,Lenovo,Intel I5,Integrated/Shared,8 GB,Windows,4,2,4,4
11/12/2022 2:31:02,AI,Asus,Ryzen 7,Discrete/Dedicated,8 GB,Windows,4,3,4,4
11/12/2022 2:32:50,Block Chain,Asus,Intel I5,Integrated/Shared,8 GB,Windows,4,3,4,1
11/12/2022 2:37:53,Cyber Security,Asus,Intel I5,Integrated/Shared,12 GB,Windows,4,2,3,3
11/12/2022 2:48:33,AI,HP,Intel I7,Integrated/Shared,8 GB,Windows,4,3,4,3
11/12/2022 2:53:15,Gaming,Dell,Ryzen 5,Discrete/Dedicated,8 GB,Windows,4,4,3,2
11/12/2022 2:56:11,AR VR,HP,Intel I5,Integrated/Shared,16 GB,Windows,4,4,4,1
11/12/2022 2:59:16,Data Science,Lenovo,Ryzen 5,Integrated/Shared,8 GB,Windows,3,3,4,4
11/12/2022 3:15:31,AI,Dell,Intel I5,Discrete/Dedicated,12 GB,Windows,1,2,3,4
